"cited","citing"
"10.1021/acs.jpclett.2c02385","10.1371/journal.pone.0287200"
"10.1021/acs.jpclett.2c02385","10.1360/ssc-2023-0007"
"10.1021/acs.biochem.8b00940","10.1021/acs.joc.9b02505"
"10.1021/acs.biochem.8b00940","10.1038/s41598-020-59047-7"
"10.1021/acs.biochem.8b00940","10.1002/chem.202103305"
"10.1021/acs.biochem.8b00940","10.1039/d0ob01754j"
"10.1021/acs.biochem.8b00940","10.1134/s1070428021120046"
"10.1021/acs.biochem.8b00940","10.1039/d1cc00095k"
"10.1021/acs.biochem.8b00940","10.1016/j.bbrc.2020.12.002"
"10.7554/elife.32955","10.1016/j.plantsci.2019.05.001"
"10.7554/elife.32955","10.1021/acs.biochem.8b00114"
"10.7554/elife.32955","10.1093/plcell/koab143"
"10.7554/elife.32955","10.1093/plcell/koab130"
"10.7554/elife.32955","10.1021/jacs.1c02638"
"10.7554/elife.32955","10.1111/ppl.14131"
"10.7554/elife.32955","10.1021/jacs.0c10053"
"10.7554/elife.32955","10.1038/s42004-023-00841-5"
"10.7554/elife.32955","10.1002/med.21792"
"10.7554/elife.32955","10.1016/j.sbi.2020.06.004"
"10.7554/elife.32955","10.1002/ange.202108125"
"10.7554/elife.32955","10.1002/cbic.202100071"
"10.7554/elife.32955","10.1073/pnas.1818568116"
"10.7554/elife.32955","10.1021/acscatal.3c02214"
"10.7554/elife.32955","10.3389/fchem.2021.768854"
"10.7554/elife.32955","10.1111/tpj.14293"
"10.7554/elife.32955","10.1002/ange.202006919"
"10.7554/elife.32955","10.1007/s00726-023-03271-8"
"10.7554/elife.32955","10.1039/d0sc02023k"
"10.7554/elife.32955","10.1016/j.biotechadv.2020.107651"
"10.7554/elife.32955","10.1038/s41467-020-15418-2"
"10.7554/elife.32955","10.1007/s13205-019-1983-2"
"10.7554/elife.32955","10.1039/d1ob00608h"
"10.7554/elife.32955","10.1039/d1ob00411e"
"10.7554/elife.32955","10.1111/nph.16306"
"10.7554/elife.32955","10.1021/acs.bioconjchem.1c00551"
"10.7554/elife.32955","10.1039/d3np00042g"
"10.7554/elife.32955","10.3390/catal11010033"
"10.7554/elife.32955","10.1038/s41467-022-33185-0"
"10.7554/elife.32955","10.1002/2211-5463.13575"
"10.7554/elife.32955","10.1016/j.biochi.2022.04.001"
"10.7554/elife.32955","10.1002/anie.202108125"
"10.7554/elife.32955","10.1038/s41467-018-04669-9"
"10.7554/elife.32955","10.1021/acscatal.0c02078"
"10.7554/elife.32955","10.1007/s11426-019-9648-3"
"10.7554/elife.32955","10.1038/s41598-019-47273-7"
"10.7554/elife.32955","10.1016/j.phytochem.2021.112749"
"10.7554/elife.32955","10.1021/acs.jafc.1c01755"
"10.7554/elife.32955","10.1002/anie.202006919"
"10.7554/elife.32955","10.1093/plcell/koac281"
"10.7554/elife.32955","10.1042/bst20200881"
"10.7554/elife.32955","10.1042/bst20200908"
"10.7554/elife.32955","10.1042/bst20200001"
"10.1038/s41467-022-29210-x","10.1016/j.sbi.2023.102571"
"10.1038/s41467-022-29210-x","10.1111/pbi.14161"
"10.1038/s41467-022-29210-x","10.1126/science.adg7731"
